database	habitat	parameter	tp	fp	fn	accuracy	precision	taxonomy_level	tp	fp	fn	acc	precision
Database 2	Terrestrial	naive.90	11	1	105	9.4	91.67	family	9.4%	0.85%	89.74%	9.4%	91.67%
Database 3	Terrestrial	blast.1.90	80	8	29	68.38	90.91	family	68.38%	6.84%	24.79%	68.38%	90.91%
Database 3	Terrestrial	blast.1.95	76	7	34	64.96	91.57	family	64.96%	5.98%	29.06%	64.96%	91.57%
Database 3	Terrestrial	blast.1.99	47	2	68	40.17	95.92	family	40.17%	1.71%	58.12%	40.17%	95.92%
Database 3	Terrestrial	blast.10.95	78	6	33	66.67	92.86	family	66.67%	5.13%	28.21%	66.67%	92.86%
Database 3	Terrestrial	blast.3.90	89	6	22	76.07	93.68	family	76.07%	5.13%	18.8%	76.07%	93.68%
Database 3	Terrestrial	naive.70	89	4	24	76.07	95.7	family	76.07%	3.42%	20.51%	76.07%	95.7%
Database 3	Terrestrial	naive.80	87	3	27	74.36	96.67	family	74.36%	2.56%	23.08%	74.36%	96.67%
Database 3	Terrestrial	naive.90	82	0	35	70.09	100	family	70.09%	0%	29.91%	70.09%	100%
Database 4	Terrestrial	blast.1.90	80	8	29	68.38	90.91	family	68.38%	6.84%	24.79%	68.38%	90.91%
Database 4	Terrestrial	blast.1.95	76	7	34	64.96	91.57	family	64.96%	5.98%	29.06%	64.96%	91.57%
Database 4	Terrestrial	blast.1.99	47	2	68	40.17	95.92	family	40.17%	1.71%	58.12%	40.17%	95.92%
Database 4	Terrestrial	blast.10.95	78	6	33	66.67	92.86	family	66.67%	5.13%	28.21%	66.67%	92.86%
Database 4	Terrestrial	blast.3.90	80	6	31	68.38	93.02	family	68.38%	5.13%	26.5%	68.38%	93.02%
Database 4	Terrestrial	naive.70	89	4	24	76.07	95.7	family	76.07%	3.42%	20.51%	76.07%	95.7%
Database 4	Terrestrial	naive.80	87	3	27	74.36	96.67	family	74.36%	2.56%	23.08%	74.36%	96.67%
Database 4	Terrestrial	naive.90	82	0	35	70.09	100	family	70.09%	0%	29.91%	70.09%	100%
Database 5	Terrestrial	blast.1.90	80	8	29	68.38	90.91	family	68.38%	6.84%	24.79%	68.38%	90.91%
Database 5	Terrestrial	blast.1.95	76	7	34	64.96	91.57	family	64.96%	5.98%	29.06%	64.96%	91.57%
Database 5	Terrestrial	blast.1.99	47	2	68	40.17	95.92	family	40.17%	1.71%	58.12%	40.17%	95.92%
Database 5	Terrestrial	blast.10.95	78	6	33	66.67	92.86	family	66.67%	5.13%	28.21%	66.67%	92.86%
Database 5	Terrestrial	blast.3.90	80	6	31	68.38	93.02	family	68.38%	5.13%	26.5%	68.38%	93.02%
