Feature.ID	Consensus	Taxon_01	Taxon_02	Taxon_03	Taxon_04	Taxon_05	Taxon_06	Taxon_07	Taxon_08	Taxon_09	Taxon_10	Taxon_11	Taxon_12	Taxon_13	Taxon_14	Taxon_15	Taxon_16	Assigned_Order	Taxon_18	Taxon_19	Taxon_20	Assigned_Family	Assigned_Genus	Taxon_23	Environment	Kingdom	Phylum	Class	Order	Family	Genus	Species
ADS.NPRB.nem.11	1	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	D_5__Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCPclade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Chromadorea	D_15__Chromadoria	Araeolaimida	D_17__Araeolaimida_suborder	D_18__Araeolaimida_infraorder	D_19__Axonolaimoidea	Comesomatidae	Sabatieria	D_22__Sabatieria sp.	Marine	D_0__Eukaryota	D_1__Nematoda	D_2__Chromadorea	Araeolaimida	Comesomatidae	Sabatieria	D_6__Sabatieria sp.
ADS.NPRB.nem.18	1	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	D_5__Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCPclade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Chromadorea	D_15__Chromadoria	Araeolaimida	D_17__Araeolaimida_suborder	D_18__Araeolaimida_infraorder	D_19__Axonolaimoidea	Comesomatidae	Sabatieria	D_22__Sabatieria sp.	Marine	D_0__Eukaryota	D_1__Nematoda	D_2__Chromadorea	Araeolaimida	Comesomatidae	Sabatieria	D_6__Sabatieria sp.
ADS.NPRB.nem.20	1	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	D_5__Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCPclade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Chromadorea	D_15__Chromadoria	Monhysterida	D_17__	D_18__	D_19__	Unassigned	Unassigned	D_22__	Marine	D_0__Eukaryota	D_1__Nematoda	D_2__Chromadorea	Araeolaimida	Comesomatidae	Sabatieria	D_6__Sabatieria sp.
ADS.NPRB.nem.21	1	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	D_5__Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCPclade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Chromadorea	D_15__Chromadoria	Araeolaimida	D_17__Araeolaimida_suborder	D_18__Araeolaimida_infraorder	D_19__Axonolaimoidea	Comesomatidae	Sabatieria	D_22__Sabatieria sp.	Marine	D_0__Eukaryota	D_1__Nematoda	D_2__Chromadorea	Araeolaimida	Comesomatidae	Sabatieria	D_6__Sabatieria sp.
ADS.NPRB.nem.28	1	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	D_5__Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCPclade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Enoplea	D_15__Enoplia	Enoplida	D_17__Ironina	D_18__Ironina_infraorder	D_19__Ironoidea	Oxystominidae	Halalaimus	D_22__Halalaimus sp.	Marine	D_0__Eukaryota	D_1__Nematoda	D_2__Enoplea	Enoplida	Oxystominidae	Halalaimus	D_6__Halalaimus sp.
ADS.NPRB.nem.30	1	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	D_5__Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCPclade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Enoplea	D_15__Enoplia	Enoplida	D_17__Ironina	D_18__Ironina_infraorder	D_19__Ironoidea	Oxystominidae	Halalaimus	D_22__Halalaimus sp.	Marine	D_0__Eukaryota	D_1__Nematoda	D_2__Enoplea	Enoplida	Oxystominidae	Halalaimus	D_6__Halalaimus sp.
ADS.NPRB.nem.31	1	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	D_5__Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCPclade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Chromadorea	D_15__Chromadoria	Araeolaimida	D_17__Araeolaimida_suborder	D_18__Araeolaimida_infraorder	D_19__Axonolaimoidea	Comesomatidae	Sabatieria	D_22__Sabatieria sp.	Marine	D_0__Eukaryota	D_1__Nematoda	D_2__Chromadorea	Araeolaimida	Comesomatidae	Pierrickia	D_6__Pierrickia sp.
ADS.NPRB.nem.34	1	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	D_5__Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCPclade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Chromadorea	D_15__Chromadoria	Araeolaimida	D_17__Araeolaimida_suborder	D_18__Araeolaimida_infraorder	D_19__Axonolaimoidea	Comesomatidae	Unassigned	D_22__	Marine	D_0__Eukaryota	D_1__Nematoda	D_2__Chromadorea	Araeolaimida	Comesomatidae	Pierrickia	D_6__Pierrickia sp.
ADS.NPRB.nem.35	1	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	D_5__Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCPclade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Chromadorea	D_15__Chromadoria	Araeolaimida	D_17__Araeolaimida_suborder	D_18__Araeolaimida_infraorder	D_19__Axonolaimoidea	Comesomatidae	Sabatieria	D_22__Sabatieria pulchra	Marine	D_0__Eukaryota	D_1__Nematoda	D_2__Chromadorea	Araeolaimida	Comesomatidae	Sabatieria	D_6__Sabatieria sp.
ADS.NPRB.nem.37	1	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	D_5__Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCPclade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Chromadorea	D_15__Chromadoria	Araeolaimida	D_17__Araeolaimida_suborder	D_18__Araeolaimida_infraorder	D_19__Axonolaimoidea	Comesomatidae	Sabatieria	D_22__Sabatieria pulchra	Marine	D_0__Eukaryota	D_1__Nematoda	D_2__Chromadorea	Araeolaimida	Comesomatidae	Sabatieria	D_6__Sabatieria sp.
ADS.NPRB.nem.40	1	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	D_5__Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCPclade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Chromadorea	D_15__Chromadoria	Araeolaimida	D_17__Araeolaimida_suborder	D_18__Araeolaimida_infraorder	D_19__Axonolaimoidea	Comesomatidae	Sabatieria	D_22__Sabatieria sp.	Marine	D_0__Eukaryota	D_1__Nematoda	D_2__Chromadorea	Araeolaimida	Comesomatidae	Dorylaimopsis	D_6__Dorylaimopsis sp.
ADS.NPRB.nem.41	1	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	D_5__Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCPclade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Chromadorea	D_15__Chromadoria	Araeolaimida	D_17__Araeolaimida_suborder	D_18__Araeolaimida_infraorder	D_19__Axonolaimoidea	Comesomatidae	Sabatieria	D_22__Sabatieria sp.	Marine	D_0__Eukaryota	D_1__Nematoda	D_2__Chromadorea	Araeolaimida	Comesomatidae	Sabatieria	D_6__Sabatieria sp.
ADS.NPRB.nem.42	1	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	D_5__Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCPclade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Chromadorea	D_15__Chromadoria	Monhysterida	D_17__Monhysterina	D_18__Monhysterina_infraorder	D_19__Sphaerolaimoidea	Xyalidae	Daptonema	D_22__Daptonema sp.	Marine	D_0__Eukaryota	D_1__Nematoda	D_2__Chromadorea	Monhysterida	Linhomoeidae	Terschellingia	D_6__Terschellingia
ADS.NPRB.nem.46	1	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	D_5__Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCPclade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Enoplea	D_15__Enoplia	Enoplida	D_17__Enoplina	D_18__Enoplina_infraorder	D_19__Enoploidea	Anticomidae	Anticoma	D_22__Anticoma sp.	Marine	D_0__Eukaryota	D_1__Nematoda	D_2__Enoplea	Enoplida	Phanodermatidae	Micoletzkyia	D_6__Micoletzkyia sp.
ADS.NPRB.nem.47	1	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	D_5__Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCPclade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Enoplea	D_15__Enoplia	Enoplida	D_17__Ironina	D_18__Ironina_infraorder	D_19__Ironoidea	Oxystominidae	Oxystomina	D_22__Oxystomina sp 1	Marine	D_0__Eukaryota	D_1__Nematoda	D_2__Enoplea	Enoplida	Oxystominidae	Oxystomina	D_6__Oxystomina sp.
ADS.NPRB.nem.49	1	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	D_5__Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCPclade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Chromadorea	D_15__Chromadoria	Araeolaimida	D_17__Araeolaimida_suborder	D_18__Araeolaimida_infraorder	D_19__Axonolaimoidea	Comesomatidae	Sabatieria	D_22__Sabatieria sp.	Marine	D_0__Eukaryota	D_1__Nematoda	D_2__Chromadorea	Araeolaimida	Comesomatidae	Sabatieria	D_6__Sabatieria sp.
ADS.NPRB.nem.50	1	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	D_5__Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCPclade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Chromadorea	D_15__Chromadoria	Araeolaimida	D_17__Araeolaimida_suborder	D_18__Araeolaimida_infraorder	D_19__Axonolaimoidea	Comesomatidae	Sabatieria	D_22__Sabatieria sp.	Marine	D_0__Eukaryota	D_1__Nematoda	D_2__Chromadorea	Araeolaimida	Comesomatidae	Sabatieria	D_6__Sabatieria sp.
ADS.NPRB.nem.51	1	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	D_5__Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCPclade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Chromadorea	D_15__Chromadoria	Plectida	D_17__Plectina	D_18__Plectina_infraorder	D_19__Camacolaimoidea	Camacolaimidae	Camacolaimus	D_22__Camacolaimus sp.	Marine	D_0__Eukaryota	D_1__Nematoda	D_2__Chromadorea	Plectida	Camacolaimidae	Camacolaimus	D_6__Camacolaimus sp.
BOBA.103	1	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	D_5__Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCPclade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Enoplea	D_15__Enoplia	Enoplida	D_17__Enoplina	D_18__Enoplina_infraorder	D_19__Enoploidea	Anticomidae	Anticoma	D_22__Anticoma sp.	Marine	D_0__Eukaryota	D_1___Nematoda	D_2___Enoplea	Enoplida	Anticomidae	Anticoma	D_6__Anticoma sp.
BOBA.105	1	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	D_5__Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCPclade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Enoplea	D_15__Enoplia	Enoplida	D_17__Oncholaimina	D_18__Oncholaimina_infraorder	D_19__Oncholaimoidea	Oncholaimidae	Viscosia	D_22__Viscosia elegans	Marine	D_0__Eukaryota	D_1___Nematoda	D_2___Enoplea	Enoplida	Oncholaimidae	Viscosia	D_6__Viscosia sp.
BOBA.106	1	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	D_5__Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCPclade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Enoplea	D_15__Enoplia	Enoplida	D_17__Trefusiina	D_18__Trefusiina_infraorder	D_19__Trefusioidea	Trefusiidae	Rhabdocoma	D_22__Rhabdocoma sp.	Marine	D_0__Eukaryota	D_1___Nematoda	D_2___Enoplea	Enoplida	Trefusiidae	Rhabdocoma	D_6__Rhabdocoma sp.
BOBA.110	1	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	D_5__Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCPclade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Enoplea	D_15__Enoplia	Enoplida	D_17__Oncholaimina	D_18__Oncholaimina_infraorder	D_19__Oncholaimoidea	Oncholaimidae	Viscosia	D_22__Viscosia elegans	Marine	D_0__Eukaryota	D_1___Nematoda	D_2___Enoplea	Enoplida	Oncholaimidae	Viscosia	D_6__Viscosia sp.
