Feature.ID	Confidence	Taxon_01	Taxon_02	Taxon_03	Taxon_04	Taxon_05	Taxon_06	Taxon_07	Taxon_08	Taxon_09	Taxon_10	Taxon_11	Taxon_12	Taxon_13	Taxon_14	Taxon_15	Taxon_16	Taxon_17	Taxon_18	Assigned_Family	Assigned_Genus	Environment	Kingdom	Phylum	Class	Order	Family	Genus	Species
MEMB.nem.211	0.949540228	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCP clade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Enoplea	D_15__Enoplia	D_16__Enoplida	D_17__Anticomidae sp. JCC29	Anticomidae	Unassigned	Marine	D_0__Eukaryota	D_1__Nematoda	D_2__Enoplea	D_3__Enoplida	Anticomidae	Anticoma	D_6__Anticoma sp.
BOBA.116	0.995828902	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCP clade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Enoplea	D_15__Enoplia	D_16__Enoplida	D_17__Calyptronema sp. 1068	Enchelidiidae	Calyptronema	Marine	D_0__Eukaryota	D_1___Nematoda	D_2___Enoplea	D_3__Enoplida	Enchelidiidae	Calyptronema	D_6__Calyptronema sp.
BOBA.130	0.995828902	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCP clade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Enoplea	D_15__Enoplia	D_16__Enoplida	D_17__Calyptronema sp. 1068	Enchelidiidae	Calyptronema	Marine	D_0__Eukaryota	D_1___Nematoda	D_2___Enoplea	D_3__Enoplida	Enchelidiidae	Calyptronema	D_6__Calyptronema sp.
BOBA.145	0.995828902	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCP clade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Enoplea	D_15__Enoplia	D_16__Enoplida	D_17__Calyptronema sp. 1068	Enchelidiidae	Calyptronema	Marine	D_0__Eukaryota	D_1___Nematoda	D_2___Enoplea	D_3__Enoplida	Enchelidiidae	Calyptronema	D_6__Calyptronema sp.
BOBA.158	0.995828902	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCP clade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Enoplea	D_15__Enoplia	D_16__Enoplida	D_17__Calyptronema sp. 1068	Enchelidiidae	Calyptronema	Marine	D_0__Eukaryota	D_1___Nematoda	D_2___Enoplea	D_3__Enoplida	Enchelidiidae	Calyptronema	D_6__Calyptronema sp.
BOBA.488	0.903675782	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCP clade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Enoplea	D_15__Enoplia	D_16__Enoplida	D_17__Enoplus meridionalis	Enoplidae	Enoplus	Marine	D_0__Eukaryota	D_1___Nematoda	D_2___Enoplea	D_3__Enoplida	Phanodermatidae	Phanoderma	D_6__Phanoderma sp.
HB.NPRB.nem.35	0.982006173	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCP clade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Enoplea	D_15__Enoplia	D_16__Enoplida	D_17__Halalaimus sp. Cr11	Oxystominidae	Halalaimus	Marine	D_0__Eukaryota	D_1__Nematoda	D_2__Enoplea	D_3__Enoplida	Oxystominidae	Halalaimus	D_6__Halalaimus sp.
HB.NPRB.nem.33	0.933605058	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCP clade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Enoplea	D_15__Enoplia	D_16__Enoplida	D_17__Litinium sp. TCR90	Oxystominidae	Litinium	Marine	D_0__Eukaryota	D_1__Nematoda	D_2__Enoplea	D_3__Enoplida	Oxystominidae	Thalassoalaimus	D_6__Thalassoalaimus sp.
MEMB.nem.25	0.973718292	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCP clade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Enoplea	D_15__Enoplia	D_16__Enoplida	D_17__Litinium sp. TCR90	Oxystominidae	Litinium	Marine	D_0__Eukaryota	D_1__Nematoda	D_2__Enoplea	D_3__Enoplida	Oxystominidae	Thalassoalaimus	D_6__Thalassoalaimus sp.
BOBA.194	0.951230526	D_0__Eukaryota	D_1__Amorphea	D_2__Obazoa	D_3__Opisthokonta	D_4__Holozoa	Choanozoa	D_6__Metazoa	D_7__Animalia	D_8__BCP clade	D_9__Bilateria	D_10__Protostomia	D_11__Ecdysozoa	D_12__Nematozoa	D_13__Nematoda	D_14__Enoplea	D_15__Enoplia	D_16__Enoplida	D_17__Thoracostoma trachygaster	Leptsomatidae	Thoracostoma	Marine	D_0__Eukaryota	D_1___Nematoda	D_2___Enoplea	D_3__Enoplida	Leptsomatidae	Thoracostoma	D_6__Thoracostoma sp.
